Подразделение,Магазин ID,Наименование магазина,Бюджет товарооборот,Среднемесячный товарооборот,План золото 2026,Доход золото. Коэффициент 6%,План серебро 2026,Доход серебро. Коэффициент 9%,План Аксессуары 2026,Доход Аксессуары. Коэффициент 6%,План кожа 2026,План кожзам и товары с коэффициентом обуви 
Черноморское,10013.0,"Краснодар, Мегацентр Красная площадь",170479262.90007362,14206605.2416728,1843074.231782485,110584.4539069491,1198815.0407400143,107893.35366660128,1482329.969611496,88939.79817668976,3153124.6334247487,6529261.366114057
Краснодар,10014.0,"Краснодар, ТРК СБС Мегамолл",30404388.667500023,2533699.055625002,0.0,0.0,0.0,0.0,353400.4743423003,21204.02846053802,300596.5464255951,1879702.0348571062
Ростов,10045.0,"Шахты, ЦУМ",55867540.044999965,4655628.33708333,0.0,0.0,400000.0,36000.0,653698.200964292,39221.89205785752,1109105.3630977313,2492824.773021307
Сочи,10090.0,"Минеральные Воды, ТРЦ Вершина",77594355.09750003,6466196.2581250025,909330.8447976972,54559.85068786183,524852.7951843906,47236.75156659515,880947.311624103,52856.838697446176,1484057.380803075,2667007.925715737
Кавказ,10105.0,"Ставрополь, ТЦ Обувь Сити",61322187.84249998,5110182.320208332,662962.4174013723,39777.74504408234,400000.0,36000.0,664475.6769052215,39868.54061431329,1073316.8083362465,2309427.417565491
Кавказ,10187.0,"Нальчик, ТРЦ Дея",32173457.642500002,2681121.4702083333,0.0,0.0,483950.3344217309,43555.53009795578,415152.20739051147,24909.132443430688,341940.1206442407,1440078.8077518502
Сочи,10261.0,"Сочи, ТЦ Дом торговли",139372651.95807064,11614387.663172552,1506776.478671634,90406.58872029804,452371.12931133003,40713.4016380197,1726112.4603054565,103566.74761832738,2903408.1653953684,5025719.429488763
Ростов,10262.0,"Кореновск, ТЦ Квартал",79549303.35749999,6629108.613124999,860018.2138304685,51601.09282982811,400000.0,36000.0,974406.9514356462,58464.41708613877,1237325.0140996927,3157358.433759192
Краснодар,10279.0,"Краснодар, ул.Ставропольская, д.100",81353617.52000006,6779468.126666672,0.0,0.0,417278.3739849312,37555.05365864381,1050280.5953648768,63016.8357218926,1443292.3351640964,3868616.8221527673
Черноморское,10340.0,"Усть-Лабинск, ТЦ Детский мир",90078053.94,7506504.495,973845.9519457194,58430.75711674317,400000.0,36000.0,744814.5496145657,44688.872976873936,2010362.6812878996,3377481.3121518157
Ростов,10347.0,"Батайск, ул. Кирова, д. 9/1",48285485.037499994,4023790.4197916663,0.0,0.0,400000.0,36000.0,654023.7530001109,39241.42518000665,766775.9257793108,2202990.7410122445
Краснодар,10355.0,"Славянск-на-Кубани, ТЦ Империя",85459410.681526,7121617.556793834,1108306.985282033,66498.41911692197,496521.7196344031,44686.95476709628,851869.9576265656,51112.19745759393,1856887.4794772032,2808031.414773629
Черноморское,10362.0,"Армавир, ТРЦ Красная площадь",71752321.41499996,5979360.117916663,775723.9937626683,46543.4396257601,424091.3220285183,38168.21898256664,543903.6112321799,32634.216673930794,1886857.56935242,2348783.621540876
